"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pf","pk"
"PBANKA_0100061",0.233034822488115,0.678842722645199,-0.00175226270927283,0.99221811843567,-0.223891989048099,7.36686137396520e-12,0.0006161436623678,0.603553660927741,-0.00388325564387854,7.62508383040181e-06,-0.00023808233217313,1.21753284398929e-08,0.000521074549994139,1.19798703208707e-35,0.000756004241974417,0.274330352689874,0.058250779339612,0.0109254498301714,-0.124137223562456,0.25992102636735,0.0519236454690637,1,-0.189834997968704,0.607630064273872,-0.0462565666755344,0.747340824993467,NA,NA
"PBANKA_0100500",-0.0775772449679227,0.728511399972537,0.232698858470265,0.0554551515250401,-0.687973274012283,3.383387849267e-43,0.00312892731798667,0.335725206908116,0.000709175844814169,0.165751650744324,0.000224475025625752,0.420800685413858,-0.000818638976324764,0.0937023405353171,-2.50705804804337e-05,0.993808741511364,-0.000544574012138394,0.674227587965339,-0.000780666477415333,7.31626529685367e-09,-0.000835134350926082,0.87386639623591,0.0121883174398059,0.607630064273872,0.256834944708191,0.160250922902396,NA,NA
"PBANKA_0101400",0.0289722860292352,0.708588940598466,-0.0542634541795965,0.438841811800254,0.483183651189067,1.38968485363103e-57,0.0338108124849853,0.276765419343664,-0.217302083965508,2.82185320401606e-09,0.0496306353587756,0.00170515799711202,-0.0690436663745463,0.193048356981646,0.0275983066961818,0.634476715619026,-0.252657995967885,3.49452743960194e-07,-0.0148703433807172,0.296483352704834,0.512516942790934,0.8075414615236,-0.000766348902078159,0.607630064273872,-0.0182585578635621,0.870428467325184,"PF3D7_0602600","PKNH_1148100"
"PBANKA_0102600",-0.00440242739447904,0.699985116635514,-0.000478134218706819,0.822224187391256,0.0361444043152266,1.85995134124248e-19,0.0918610491427932,2.70835243107056e-46,0.239866301896466,1.31344286210459e-16,-0.168830778262443,3.373982230259e-20,0.791359254598886,2.29284912303671e-18,-0.454681108155039,5.17267328941534e-25,-5.09887173795331e-05,0.971184718148785,-0.00587694148983814,0.158771387245146,-0.0336870994277857,0.824680081165824,0.0225622990718479,0.607630064273872,-0.00601389258512185,0.562878619662908,"PF3D7_0603800","PKNH_1146900"
"PBANKA_0103400",0.068612018747678,9.4504294607976e-08,0.00862874821106126,0.366621568580463,0.24102784548849,3.50315878104408e-28,0.283582618328277,7.65851093052159e-37,0.0420623396282622,0.41281131804296,-0.358933359011985,1.01059989012264e-74,-0.0339961086953554,0.0496313798687944,0.000311024469419519,0.933508383806015,0.0246373182533137,0.10377817105952,-0.115812822177949,0.0818176893281733,-0.271935065772945,0.897971645857136,-0.0939187729287847,0.607630064273872,0.00766101246121622,0.714722470506632,"PF3D7_0604700","PKNH_1145800"
"PBANKA_0103700",-8.63955648604255e-05,0.854304176733428,0.021710228069051,0.630245875366469,0.729886235810089,2.3485688766265e-73,-0.63476359526691,7.27591836340049e-67,-0.150727693715024,2.04082915471255e-07,0.000751975851778993,0.696996783136239,-0.00538407366354167,0.36018437329638,-0.00255849876151555,0.519687209397927,0.0024996311216267,8.33243914692053e-23,0.00105472814660768,5.49747739035789e-05,-0.00952474746931956,0.8075414615236,-0.000450062353725882,1,0.012448616193139,0.594799891200214,"PF3D7_0604900","PKNH_1145600"
"PBANKA_0104000",-0.0431275236192231,0.678842722645199,0.00155064540555694,0.94458921579385,0.477560346102035,6.16194768508272e-49,0.225480466742652,1.3440455074013e-12,-0.0141232763141527,0.874271757374031,-0.238814525939502,2.03374099118589e-29,0.689077403755338,1.69279482166521e-08,-0.276331560023776,9.76461144730467e-13,-0.00110753218928623,0.971263835505319,-0.0115868809676943,0.345446709323337,1.5267090672053,0.8075414615236,-0.0027681104537245,0.607630064273872,-0.0186313961461565,0.558223580264375,"PF3D7_0605200","PKNH_1145300"
"PBANKA_0105000",0.120133720428627,0.0892364271205717,-0.0808639633202885,0.0286143339344395,0.358391332433811,3.69676946849491e-53,-0.173250729627278,1.94580659210493e-50,0.270354914609812,7.15470364322168e-24,-0.195820701130001,3.35773171359414e-45,0.226231768395331,9.76372501213631e-07,-0.0971270767380864,0.0590388288018014,0.0661856848599718,0.0993214589303793,-0.0566643675420391,0.00267726207564122,0.15781682389601,0.8075414615236,0.17318621853465,0.799826752443784,0.0188820274449179,0.901687519458159,"PF3D7_0606200","PKNH_1144000"
"PBANKA_0105200",0.815486122989916,4.07283291328617e-06,-0.560663425894476,0.0399024841930102,-0.215339117551993,2.84397820751198e-35,0.000672669612236318,0.0193663087234695,0.00275764862441438,0.119513779790653,0,1,0.00338201459640425,0.0659587275380322,0.207385737337053,3.3949507640486e-25,-0.237141039978216,1.01699275815869e-10,-0.0174985580015463,0.0969052870961908,-0.000202785314922745,0.8075414615236,-3.38060383503735e-05,0.937664258108308,0.157384037495847,0.594799891200214,"PF3D7_0606500","PKNH_1143700"
"PBANKA_0106000",-0.0396200232989017,0.507338254545664,0.00571162361585995,0.781344035841429,0.026509235530318,5.78445692368265e-08,0.0394665002842046,9.23597314285839e-18,0.332046046417015,1.12919841902233e-58,-0.13860186107474,2.84274877655005e-26,-0.112700153784937,0.00640664665221127,0.206034902052316,8.69556607977466e-10,0.375110899394205,0.000193958400227506,-1.3465356314666,2.31001279774616e-14,0.14604508815928,0.901157097051943,1.12850135041039,0.607630064273872,0.0417629387344802,0.676834338573831,"PF3D7_0607400","PKNH_1142900"
