"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pk","pb"
"PF3D7_0102500",0.86610678359643,0.678703948842491,-0.624677301948352,0.839442229708427,2.53060788964609e-08,0.968565475410315,0.000149429376237962,1.46067504374234e-07,0.00063380277839274,9.78247931264727e-05,-0.000276048129809291,1.82639804854258e-15,0.000570029923930164,2.16148444689263e-06,-0.000817875650710035,2.51243311525626e-08,0.31133416744874,2.51119385314323e-12,-0.253714919599785,0.0558752919214744,0.0254888453765014,1,2.64367629366481,0.934744965737756,0.592711930882461,0.792522629758778,NA,NA
"PF3D7_0103000",-0.0567863893441467,0.678703948842491,-0.000550161101200828,0.0116103621318663,0.00246479082851622,0.896190124995304,0.0918651910925979,2.24659097987944e-33,-0.0173749414156457,0.217348471077974,-0.0164112773420246,0.0051384154597422,-0.00966618535466053,0.770456173915407,-0.026997193955533,0.0372412592217092,-0.00520393713692185,0.170399546342229,-0.000361074900494903,0.000346663949534293,7.53368791165365e-19,1,7.96418959478193e-06,0.934744965737756,-1.14979758342356e-06,1,"PKNH_0210600","PBANKA_0210100"
"PF3D7_0106200",-0.105679130679763,0.678703948842491,-0.000313091844665197,0.323718061901559,0.000380213371127845,0.968565475410315,0.111197558876374,9.81825845218543e-47,0.318126340377536,6.05174616387212e-19,-0.116439193271559,2.71518096586072e-11,-0.095286572373624,0.0352626202997964,0.143610525195184,0.00715124859894629,-0.166909202882474,0.000168504234667625,7.9287214618654e-05,0.112899450600309,9.81301254721705e-05,1,0.00114107520685804,0.934744965737756,1.42574876559447e-05,1,"PKNH_0207300","PBANKA_0207100"
"PF3D7_0108600",-0.0190146710533141,0.678703948842491,0.00502005828340208,0.992721944520643,-0.0339657940302497,0.697839372017762,0.0489184807582727,5.9550238368034e-08,0.0143835338697624,0.416470313637947,-0.0296759600905367,1.74955456932965e-19,0.000909438279686518,0.664022189006319,-0.000366137063445753,0.146414585386532,4.45658225056373e-05,8.47913212755954e-06,-5.77724494860484e-05,0.00166417179043811,-6.36099911250706e-06,1,-2.61081169206758e-06,0.934744965737756,1.47563391039034e-06,0.295827561852667,"PKNH_0205100","PBANKA_0204900"
"PF3D7_0109600",8.91848844822272e-05,0.678703948842491,-0.101812669828581,0.992721944520643,0.0286393776721086,0.820378272557048,-0.0464970110062933,0.000426312349612948,-0.040751301758537,3.41348181393939e-09,-0.00260186933488807,9.31970493726271e-06,-0.00105520037813797,0.454270470832419,-0.000253483399283336,0.067897536765736,-0.00010418369403037,5.64834070477631e-07,8.69986688260494e-06,8.4271449129627e-05,5.7321646104482e-06,0.979368050376794,0.000128559832182118,0.934744965737756,4.62386858697206e-05,1,"PKNH_0204200","PBANKA_0204000"
"PF3D7_0111200",-0.0523303821131209,0.678703948842491,-0.0038712160578197,1,7.3242512243644e-05,0.997697959968591,0.011094730610631,0.370898920722401,-0.0535620818013999,1.02675218949924e-06,-0.00337674508074375,0.0634549143464718,0.0228709312628997,0.0183918402359707,-0.0293593951798443,1.5716791784769e-21,1.38678826072412e-06,0.358897435682171,-6.7283570205314e-07,0.178062062036471,-3.30103930454074e-06,1,-2.23487186235868e-07,1,-3.79023922366927e-07,0.792522629758778,"PKNH_0202400","PBANKA_0202600"
"PF3D7_0111500",1.07423320247566e-06,1,-0.00863504918246341,0.992721944520643,0.0345045520714344,0.736882509450889,-0.0163067852318571,0.0636312360000763,-0.010728133939824,0.0253676040362061,-0.000294237097733209,0.842126874616968,0.0214769176753828,0.0102245584810175,0.143686044891338,2.2700600571331e-14,-0.170718246773817,6.87388771436043e-09,0.0596432244196258,3.79655211933591e-08,0.0734317716469201,1,0.276131199034157,0.934744965737756,1.73353376641713e-06,1,"PKNH_0202100","PBANKA_0202300"
"PF3D7_0111900",-0.0567967552617192,0.678703948842491,-0.0488384360131959,0.992721944520643,0.0425933792704212,0.76579823886199,-0.0363419311910921,0.0138559891953652,-0.0470610683188082,2.66875889978655e-06,0.00802821123060404,0.000480121495672875,0.0107440546024229,0.487846080750171,-0.0244767461456845,8.17179482616154e-12,2.3703440927288e-05,0.0848710534157662,-3.6936072697657e-05,0.000558773713563208,-2.28179605234227e-05,1,8.74661329661725e-07,0.934744965737756,-2.41457017944994e-07,0.792522629758778,"PKNH_0201700","PBANKA_0201900"
"PF3D7_0112000",-0.0434225801962837,0.678703948842491,-0.0269671634800891,1,0.0235959899009331,0.901108992167878,-0.0746031792868394,3.38345075495279e-10,-0.0670109333874015,2.51065409733152e-12,-0.00327641156767951,0.0180622448107667,0.0423432888709711,1.62438192117506e-06,-0.0439153357430239,7.56796436544912e-15,0.00614237114535577,0.00224065208483261,-0.00186472411460368,0.56540187460107,-9.86436647784586e-06,1,0,1,0,1,"PKNH_0201600","PBANKA_0201800"
"PF3D7_0106400",1.74478175766574e-07,1,0.495011554809523,0.793894146102207,-0.0155312684193823,0.95549826070126,-0.136626608429781,3.44699669230975e-26,-0.0209350017610291,3.82822231096889e-06,-2.52596519503434e-06,0.987363732765915,-0.000821510446156825,0.0221901730640699,-0.000229444994718978,1.74430436516749e-05,0.000461753813174513,0.0705473522865204,-1.28424075005913e-05,4.39574291148906e-05,-1.98548423190298e-07,1,-2.61812507158012e-07,1,5.13999853011384e-08,1,"PKNH_0207100","PBANKA_0206900"
