"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pk","pb"
"PF3D7_0603800","-0.052 (0.65)","0.018 (1)","0.0052 (0.93)","0.054 (8.1e-09)","0.002 (0.87)","-0.00057 (0.95)","0.1 (0.036)","0.056 (0.35)","0.0026 (0.56)","1.3e-06 (0.83)","-6.4e-08 (1)","-2.5e-06 (0.95)","-2.2e-08 (1)","PKNH_1146900","PBANKA_0102600"
"PF3D7_0604700","-0.027 (0.65)","0.0085 (1)","0.0079 (0.93)","0.077 (8.9e-10)","-0.11 (1.1e-11)","-0.0094 (8.5e-06)","0.019 (0.031)","-0.012 (1e-13)","0.001 (0.45)","2.9e-05 (0.23)","7.8e-06 (0.85)","5e-06 (0.95)","7.7e-07 (1)","PKNH_1145800","PBANKA_0103400"
"PF3D7_0604900","4.1e-05 (0.65)","0.019 (1)","0.00085 (0.99)","0.011 (0.099)","-0.026 (1.3e-11)","2e-05 (0.98)","0.011 (9.1e-06)","-0.0061 (3.7e-08)","2e-05 (0.014)","-2.1e-05 (0.0051)","-2.6e-05 (1)","-3.4e-05 (0.95)","2.6e-08 (1)","PKNH_1145600","PBANKA_0103700"
"PF3D7_0607400","5.2e-05 (0.65)","0.019 (1)","-0.015 (0.87)","0.012 (0.22)","-0.034 (0.005)","-0.0094 (4.1e-06)","0.007 (0.55)","-0.015 (0.023)","-0.016 (7.1e-09)","5.5e-07 (0.35)","-7e-06 (0.96)","-2.7e-06 (0.95)","3.4e-09 (1)","PKNH_1142900","PBANKA_0106000"
"PF3D7_0608000","1.2e-05 (0.65)","-0.034 (1)","0.024 (0.87)","-0.027 (0.0036)","0.0012 (0.89)","0.023 (1.1e-08)","-0.11 (2.4e-09)","-0.017 (1.4e-09)","1.7e-06 (0.36)","2.4e-06 (0.31)","1.7e-06 (0.99)","1e-06 (0.96)","1.6e-07 (1)","PKNH_1142300","PBANKA_0106600"
"PF3D7_0611200","2.2e-05 (0.65)","-0.08 (1)","0.0011 (1)","-0.0049 (0.63)","-0.046 (2.7e-07)","-4.4e-05 (0.97)","0.019 (0.00038)","-0.015 (1.9e-16)","-4.2e-05 (0.00014)","-0.0048 (0.31)","-1.7e-06 (1)","-2.4e-06 (0.95)","-2.5e-09 (1)","PKNH_1139200","PBANKA_0109500"
"PF3D7_0611900","-6e-06 (0.65)","1.2e-08 (1)","-0.015 (0.83)","-0.0088 (0.054)","-0.00091 (0.22)","0.011 (1.2e-35)","-0.019 (0.007)","-0.0082 (1.3e-09)","-8.5e-06 (0.11)","-2.7e-06 (0.61)","6.5e-07 (1)","4.5e-07 (1)","1.3e-09 (1)",NA,"PBANKA_0110200"
"PF3D7_0612200","-0.039 (0.65)","-1.3e-05 (1)","-5.5e-06 (0.87)","0.067 (2.7e-44)","0.083 (3.4e-05)","0.067 (0.00052)","-0.21 (0.13)","-0.053 (0.00011)","7.6e-05 (6.6e-05)","7.9e-05 (0.12)","7.8e-17 (0.85)","-1e-17 (1)","7.5e-18 (1)","PKNH_1137800","PBANKA_0110500"
"PF3D7_0613300","1.7e-06 (1)","4.4e-05 (1)","-0.00018 (0.95)","0.0054 (0.00045)","-0.0012 (0.62)","-0.00054 (0.51)","0.00043 (0.92)","0.39 (3.1e-15)","-0.39 (0.00089)","0.00025 (3e-10)","-1.8e-05 (1)","7.4e-05 (0.95)","-9.7e-07 (1)","PKNH_1136700","PBANKA_0111600"
"PF3D7_0112000","-0.043 (0.65)","-0.027 (1)","0.024 (0.88)","-0.075 (3.3e-10)","-0.067 (2.5e-12)","-0.0033 (0.018)","0.042 (1.9e-06)","-0.044 (7.5e-15)","0.0061 (0.0025)","-0.0019 (0.58)","-9.9e-06 (1)","0 (1)","0 (1)","PKNH_0201600","PBANKA_0201800"
