"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_1146900","-3e-05 (0.014)","-0.00098 (0.98)","-0.0032 (0.45)","0.12 (7.2e-35)","0.28 (4e-10)","-0.12 (8.1e-09)","-0.094 (0.21)","0.00061 (0.85)","0.02 (0.53)","-0.00012 (3.8e-05)","-2.9e-05 (1)","0.0013 (0.018)","-1.2e-05 (0.77)","PF3D7_0603800","PBANKA_0102600"
"PKNH_1145800","-0.0042 (0.19)","-4.7e-05 (1)","0.073 (0.00025)","0.063 (0.13)","-0.2 (2.9e-15)","0.021 (1.5e-11)","0.056 (0.036)","-0.069 (6.6e-38)","8.2e-05 (0.85)","1e-04 (2e-05)","8.7e-05 (1)","-0.00033 (0.77)","0.0047 (0.36)","PF3D7_0604700","PBANKA_0103400"
"PKNH_1145600","0.00095 (0.76)","0.00012 (1)","0.082 (0.00022)","-0.12 (1.1e-06)","-0.045 (0.012)","0.00085 (0.77)","-0.0073 (0.21)","-0.0038 (0.018)","0.0023 (0.91)","0.00025 (2.4e-09)","-0.051 (0.98)","-0.00034 (0.94)","-0.00085 (0.00013)","PF3D7_0604900","PBANKA_0103700"
"PKNH_1143700","-0.081 (0.0056)","0.26 (0.065)","0.27 (8e-05)","-0.38 (3.7e-29)","-0.00076 (0.76)","0.00012 (0.78)","0.026 (0.0031)","-0.034 (4.6e-14)","0.068 (0.00026)","0.22 (0.0014)","-0.97 (0.98)","0.42 (0.88)","-0.32 (0.02)","PF3D7_0606500","PBANKA_0105200"
"PKNH_1143200","-0.00026 (0.00027)","0.0024 (0.0056)","-0.014 (0.26)","0.078 (8.4e-16)","-0.053 (0.019)","-0.016 (9.4e-08)","0.079 (8.1e-07)","-0.18 (2.3e-07)","-0.0012 (0.86)","0.00093 (2.5e-13)","-0.0027 (0.98)","-0.0027 (0.32)","-0.00061 (0.085)","PF3D7_0607100","PBANKA_0105700"
"PKNH_1142900","-2.5e-05 (0.76)","0.048 (0.47)","0.27 (4.4e-16)","-0.073 (0.00011)","-0.081 (9.6e-15)","-0.022 (4.4e-13)","-0.008 (0.063)","0.0075 (1.6e-20)","-0.019 (2.5e-18)","0.0036 (0.01)","0.0076 (0.99)","-0.074 (0.026)","-0.0043 (0.022)","PF3D7_0607400","PBANKA_0106000"
"PKNH_1142300","-0.00034 (7.3e-11)","-2.5e-05 (1)","0.098 (3.8e-07)","-0.13 (4.9e-05)","-0.092 (7.4e-09)","0.0015 (0.54)","-0.0058 (0.78)","-0.0076 (9.1e-14)","-0.00057 (0.42)","-0.00024 (0.15)","-0.00086 (0.98)","7.5e-05 (1)","2e-04 (0.11)","PF3D7_0608000","PBANKA_0106600"
"PKNH_1142100","0.00015 (0.099)","-0.0013 (0.98)","0.017 (0.39)","0.099 (0.011)","-0.12 (5.6e-05)","0.025 (1.3e-06)","-0.027 (0.58)","0.038 (1.3e-05)","-0.067 (0.0014)","-0.00065 (0.0031)","-0.0035 (0.98)","0.00059 (0.97)","0.0012 (0.0069)","PF3D7_0608200","PBANKA_0106800"
"PKNH_1140600","-0.001 (0.041)","-0.00015 (0.00052)","0.034 (3e-05)","-0.0043 (0.57)","0.22 (1.4e-25)","0.072 (1.4e-11)","0.092 (0.23)","-0.84 (1.5e-53)","0.35 (2.1e-13)","-0.19 (2e-05)","0 (1)","0.027 (0.35)","0.0025 (0.47)","PF3D7_0609700","PBANKA_0108200"
"PKNH_1140100","-0.26 (2.1e-07)","-0.0011 (1)","0.14 (7.7e-06)","-0.14 (1.5e-18)","0 (1)","0.0014 (0.089)","0.0054 (0.35)","-0.0073 (0.0064)","0.049 (2.1e-05)","0.17 (9e-04)","-0.78 (0.98)","0.63 (0.71)","-0.079 (0.51)","PF3D7_0610100","PBANKA_0108600"
"PKNH_1139200","4.1e-05 (0.66)","-0.00012 (0.52)","0.041 (0.019)","0.075 (0.15)","-0.038 (0.27)","0.033 (0.00069)","0.011 (0.94)","-0.16 (1.6e-25)","-0.0097 (0.0053)","0.00058 (3.3e-13)","-0.00082 (0.92)","0.00067 (0.62)","-3e-05 (0.019)","PF3D7_0611200","PBANKA_0109500"
"PKNH_1138000","-0.0024 (0.58)","-0.0031 (0.47)","0.00017 (0.99)","0.59 (5.1e-69)","0.27 (1e-05)","-0.36 (2.1e-52)","-0.1 (0.021)","0.00033 (0.88)","-7.3e-05 (0.27)","0.003 (0.41)","-0.065 (0.98)","0.0078 (0.94)","-0.0043 (0.18)","PF3D7_0612000","PBANKA_0110300"
"PKNH_1137800","4.7e-05 (9.3e-09)","0.00014 (0.36)","-0.0011 (0.61)","-0.0017 (0.41)","0.086 (2.9e-13)","0.28 (1.2e-56)","-0.12 (0.37)","-0.56 (1.7e-70)","0.0018 (2.4e-15)","0.00082 (0.00037)","-4e-06 (0.98)","4.1e-05 (0.025)","8.6e-06 (0.069)","PF3D7_0612200","PBANKA_0110500"
"PKNH_0201600","-7.3e-05 (0.09)","-0.00017 (0.038)","0.081 (0.00022)","-0.15 (2.6e-05)","-0.011 (0.74)","-0.017 (3.3e-08)","-0.00013 (1)","0.0052 (6e-10)","0.053 (2.1e-12)","-0.035 (7.5e-09)","0.0011 (0.84)","0.00069 (0.16)","-5.7e-05 (0.097)","PF3D7_0112000","PBANKA_0201800"
"PKNH_0201700","0.00041 (2.6e-13)","2.7e-05 (0.76)","0.12 (7.5e-06)","-0.21 (1.9e-13)","-0.016 (2.5e-05)","0.00034 (0.045)","0.00023 (1.5e-05)","0.088 (2.2e-28)","-0.2 (3.6e-12)","0.0061 (0.43)","0.034 (1)","-0.0074 (0.97)","-0.017 (0.093)","PF3D7_0111900","PBANKA_0201900"
"PKNH_0201800","4.7e-05 (0.0087)","3e-04 (0.07)","0.18 (1.3e-11)","-0.087 (0.00039)","-0.092 (9.1e-06)","-0.016 (5.9e-08)","0 (1)","0.02 (3.4e-13)","-0.014 (2.1e-10)","-7.5e-05 (5.5e-06)","0.00018 (0.98)","0.00031 (0.21)","-5.4e-05 (0.014)","PF3D7_0111800","PBANKA_0202000"
"PKNH_0202100","-0.086 (7e-04)","4e-05 (0.18)","0.02 (0.014)","-0.043 (6e-05)","0.00023 (0.13)","9e-04 (0.079)","0.01 (0.11)","-0.048 (2.9e-11)","0.28 (5.1e-19)","0.81 (1.9e-08)","-2.7 (0.98)","-0.59 (0.94)","-1.2 (4.8e-05)","PF3D7_0111500","PBANKA_0202300"
"PKNH_0202400","-0.066 (0.0016)","-0.012 (0.36)","0.055 (0.002)","-0.12 (1.2e-12)","-0.00085 (0.45)","0.00027 (0.51)","0.046 (0.0068)","0.0083 (0.69)","0.2 (4.5e-10)","0.54 (4.3e-07)","-3.4 (0.89)","1.7 (0.63)","-0.94 (0.00023)","PF3D7_0111200","PBANKA_0202600"
"PKNH_0203300","9.5e-05 (6.6e-06)","0.00025 (1.1e-06)","0.014 (6.2e-05)","0.23 (3.3e-51)","-0.098 (9.5e-09)","-0.039 (1.8e-21)","0.00021 (1)","-0.027 (1.9e-10)","1.5 (4e-66)","-1.5 (7.6e-27)","0.38 (0.98)","-0.19 (0.94)","-0.081 (0.11)","PF3D7_0110600","PBANKA_0203100"
"PKNH_0204100","-0.04 (0.026)","0.31 (0.00036)","-0.14 (0.03)","-0.033 (0.011)","-0.0088 (0.19)","-0.00052 (0.65)","-0.0039 (0.19)","-0.0015 (0.0084)","-0.0014 (0.7)","0.0064 (0.048)","0.013 (0.92)","0.0068 (0.96)","0.015 (0.23)","PF3D7_0109700","PBANKA_0203900"
"PKNH_0204900","5.7e-07 (0.63)","0.011 (0.47)","0.39 (2e-16)","-0.24 (6.7e-18)","-0.028 (0.069)","-0.011 (7.8e-07)","0.002 (0.37)","-0.00027 (0.82)","-0.00057 (0.28)","-5.3e-06 (0.66)","5.7e-06 (0.98)","0.00027 (0.018)","3.8e-06 (0.0014)","PF3D7_0108800","PBANKA_0204700"
"PKNH_0205100","-0.056 (0.32)","-0.0049 (1)","0.15 (7.9e-05)","-0.36 (1.3e-20)","0.053 (0.00043)","0.027 (0.0013)","-0.093 (0.015)","-0.046 (6.2e-18)","0.038 (0.014)","0.42 (1.4e-14)","-0.059 (1)","0.79 (0.66)","0.027 (0.88)","PF3D7_0108600","PBANKA_0204900"
"PKNH_0205600","-0.1 (0.049)","-0.065 (0.085)","0.16 (2.2e-08)","0.098 (0.072)","-0.24 (3.1e-09)","-0.0017 (0.88)","-0.02 (0.75)","-0.1 (1.3e-26)","3.4e-05 (0.97)","0.044 (1.3e-17)","-0.15 (0.9)","-0.031 (0.96)","0.031 (0.36)","PF3D7_0108000","PBANKA_0205400"
"PKNH_0206300","-0.026 (0.022)","-0.0034 (0.41)","0.0058 (0.08)","-0.084 (2.7e-08)","-0.0035 (0.1)","0.025 (2e-16)","-0.031 (0.29)","0.1 (2.5e-05)","-0.13 (4e-07)","0.6 (9.5e-11)","-3.3 (0.88)","1.2 (0.65)","-0.83 (0.00066)","PF3D7_0107200","PBANKA_0206100"
"PKNH_0206500","-0.00056 (0.067)","-0.00057 (0.98)","0.011 (0.0052)","0.94 (4.3e-82)","-0.42 (2.7e-09)","-0.12 (3.2e-07)","-0.045 (0.62)","-0.058 (9.6e-06)","-0.0015 (0.87)","0.0051 (0.065)","3.2e-05 (1)","-0.015 (0.9)","-0.0089 (0.0092)","PF3D7_0107000.1","PBANKA_0206300"
"PKNH_0206700","2.1e-05 (0.017)","-0.00023 (1)","0.0046 (0.53)","0.1 (6.1e-08)","0.073 (0.023)","-0.077 (1.4e-10)","0.064 (0.21)","-0.55 (1e-26)","0.00035 (0.91)","-0.0033 (0.071)","-0.00017 (0.88)","4e-04 (0.024)","3.4e-05 (0.0052)","PF3D7_0106800","PBANKA_0206500"
"PKNH_0207100","-0.41 (0.0038)","-0.24 (0.11)","0.17 (0.0038)","-0.23 (1.3e-28)","-0.00026 (0.56)","-0.002 (0.41)","6e-05 (3.2e-05)","0.00021 (0.59)","0.0042 (0.65)","0.025 (0.094)","0.18 (0.99)","0.08 (0.97)","0.43 (0.0015)","PF3D7_0106400","PBANKA_0206900"
"PKNH_0207300","0.00015 (0.00029)","0.00021 (0.012)","-0.00033 (9e-17)","0.00035 (0.88)","0.12 (7.3e-12)","0.26 (3.5e-47)","0.077 (0.64)","-0.74 (4.6e-72)","0.00069 (0.13)","-0.00032 (0.012)","0.0017 (0.92)","0.0013 (0.65)","0.0012 (1.4e-06)","PF3D7_0106200","PBANKA_0207100"
"PKNH_0208400","3.1e-05 (0.58)","0.00045 (1.1e-05)","2.8e-05 (0.86)","0.0063 (4.1e-07)","0.0061 (0.21)","-0.0049 (9.3e-08)","0.00055 (0.57)","0.02 (1.4e-11)","1.3 (7.6e-45)","-0.36 (8.6e-08)","0 (1)","0 (1)","0.0058 (0.28)","PF3D7_0105300","PBANKA_0208000"
"PKNH_0209800","-0.018 (0.013)","-0.00029 (0.44)","0.1 (2e-05)","-0.14 (4.6e-05)","-0.029 (0.11)","-0.008 (7.6e-05)","0.00099 (0.57)","0.0012 (0.45)","0.056 (0.0014)","0.044 (0.0056)","0.16 (1)","-0.42 (0.63)","-0.088 (0.26)","PF3D7_0103700","PBANKA_0209400"
"PKNH_0210600","6.4e-06 (0.47)","1.6e-05 (0.98)","-0.00012 (0.96)","0.084 (1.3e-06)","0.18 (4.9e-05)","-0.069 (0.00071)","-0.1 (0.16)","-0.016 (0.013)","-0.015 (0.12)","4.5e-05 (0.4)","-8.2e-19 (0.98)","0.00061 (0.018)","-5.8e-06 (0.16)","PF3D7_0103000","PBANKA_0210100"
"PKNH_0211000","1.1e-05 (0.48)","0.043 (0.47)","0.28 (1.1e-09)","-0.25 (2.2e-17)","0.17 (1.3e-10)","-0.11 (8.9e-35)","-0.0059 (0.68)","-0.00084 (0.38)","0.032 (5.4e-05)","-0.0064 (0.0087)","0.0014 (0.98)","0.001 (0.5)","0.00035 (0.021)","PF3D7_0726400","PBANKA_0210500"
