"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_0102600","-0.0044 (0.7)","-0.00048 (0.82)","0.036 (1.9e-19)","0.092 (2.7e-46)","0.24 (1.3e-16)","-0.17 (3.3e-20)","0.79 (2.5e-18)","-0.45 (5e-25)","-5.1e-05 (0.97)","-0.0059 (0.16)","-0.034 (0.82)","0.023 (0.6)","-0.006 (0.63)","PF3D7_0603800","PKNH_1146900"
"PBANKA_0103400","0.069 (6.8e-08)","0.0086 (0.37)","0.24 (3.5e-28)","0.28 (7.5e-37)","0.042 (0.41)","-0.36 (8.1e-75)","-0.034 (0.049)","0.00031 (0.93)","0.025 (0.1)","-0.12 (0.082)","-0.27 (0.89)","-0.094 (0.6)","0.0077 (0.74)","PF3D7_0604700","PKNH_1145800"
"PBANKA_0103700","-8.6e-05 (0.84)","0.022 (0.64)","0.73 (2.2e-73)","-0.63 (7e-67)","-0.15 (2.1e-07)","0.00075 (0.69)","-0.0054 (0.36)","-0.0026 (0.51)","0.0025 (8.7e-23)","0.0011 (5.5e-05)","-0.0095 (0.8)","-0.00045 (1)","0.012 (0.63)","PF3D7_0604900","PKNH_1145600"
"PBANKA_0105200","0.82 (3.4e-06)","-0.56 (0.04)","-0.22 (2.9e-35)","0.00067 (0.019)","0.0028 (0.12)","0 (1)","0.0034 (0.065)","0.21 (3.3e-25)","-0.24 (1e-10)","-0.017 (0.095)","-2e-04 (0.8)","-3.4e-05 (0.94)","0.16 (0.63)","PF3D7_0606500","PKNH_1143700"
"PBANKA_0105700","-0.0088 (0.72)","0.00014 (0.012)","-0.00017 (0.29)","-2e-04 (0.00021)","0.0012 (0.0064)","0.00029 (0.73)","0.021 (0.24)","0.84 (9.8e-40)","-1.3 (2.2e-20)","-0.015 (0.17)","0.15 (0.8)","-0.00011 (1)","-0.00017 (0.76)","PF3D7_0607100","PKNH_1143200"
"PBANKA_0106000","-0.04 (0.54)","0.0057 (0.78)","0.027 (5.8e-08)","0.039 (9.2e-18)","0.33 (1.1e-58)","-0.14 (2.8e-26)","-0.11 (0.0063)","0.21 (8.5e-10)","0.38 (0.00019)","-1.3 (2.7e-14)","0.15 (0.89)","1.1 (0.6)","0.042 (0.71)","PF3D7_0607400","PKNH_1142900"
"PBANKA_0106600","0.0015 (0.72)","-0.00026 (0.31)","0.095 (2.7e-14)","0.43 (6.8e-79)","-0.47 (1.9e-16)","-0.08 (9.9e-16)","-0.00035 (0.71)","0.004 (0.18)","-0.0035 (0.34)","-0.0021 (0.005)","0.0025 (0.88)","0.0042 (0.6)","0.00077 (0.37)","PF3D7_0608000","PKNH_1142300"
"PBANKA_0106800","0.15 (0.19)","-0.24 (3.7e-05)","0.31 (1.7e-29)","-0.11 (7.4e-21)","-0.034 (0.00054)","0.0089 (0.0035)","-0.077 (0.00075)","0.0028 (0.46)","0.00083 (0.26)","0.21 (0.049)","-0.5 (0.83)","-0.39 (0.85)","0.029 (0.9)","PF3D7_0608200","PKNH_1142100"
"PBANKA_0108200","0.0081 (0.45)","0.98 (2.8e-09)","0.55 (1.4e-23)","-0.45 (1.3e-109)","-0.0064 (0.0038)","0.0022 (0.24)","0.14 (1.7e-06)","0.69 (1.4e-40)","-0.98 (5.9e-24)","-0.0057 (0.3)","0.0027 (0.8)","0.002 (0.6)","0.032 (0.63)","PF3D7_0609700","PKNH_1140600"
"PBANKA_0108600","0.0085 (0.72)","0.34 (6.3e-07)","0.48 (2.4e-24)","-0.73 (3.4e-159)","-0.1 (2.3e-08)","-0.0097 (0.022)","0.016 (0.058)","-0.077 (2.9e-08)","0.0074 (0.2)","-0.0012 (0.74)","0.28 (0.8)","0.048 (0.6)","-0.12 (0.65)","PF3D7_0610100","PKNH_1140100"
"PBANKA_0109500","-0.016 (0.42)","0.0042 (0.9)","0.45 (4.6e-53)","-0.18 (5.5e-09)","-0.15 (0.00012)","-0.035 (0.0028)","-0.099 (0.0065)","-0.023 (0.019)","-0.0013 (0.014)","0.023 (0.002)","-0.0046 (0.8)","0.17 (0.6)","0.0042 (0.96)","PF3D7_0611200","PKNH_1139200"
"PBANKA_0110300","-0.00037 (0.71)","-0.0011 (0.31)","0.0037 (0.015)","0.062 (1.7e-52)","0.19 (2.5e-21)","0.046 (0.064)","-0.055 (0.59)","-0.048 (1.9e-05)","-0.0029 (0.27)","-9.6e-05 (0.0052)","0.00039 (0.88)","0.00048 (0.67)","0.1 (0.72)","PF3D7_0612000","PKNH_1138000"
"PBANKA_0110500","-0.0036 (0.7)","0.0032 (0.49)","-0.0016 (0.094)","0.026 (4e-31)","0.0025 (0.89)","0.034 (2.4e-05)","1 (1.8e-28)","-0.72 (2e-24)","-0.13 (0.0084)","0.0031 (0.074)","-0.0091 (0.99)","-0.01 (0.74)","0.0092 (0.83)","PF3D7_0612200","PKNH_1137800"
"PBANKA_0201800","-0.04 (0.69)","0.011 (0.32)","0.4 (1.5e-40)","-0.22 (1.6e-11)","-0.06 (0.13)","-0.041 (9.4e-08)","-0.06 (1.3e-05)","-0.017 (0.27)","0.0093 (0.51)","0.0064 (0.48)","0.64 (0.8)","0.00039 (0.6)","-0.031 (0.63)","PF3D7_0112000","PKNH_0201600"
"PBANKA_0201900","-0.031 (0.58)","-0.069 (0.44)","0.079 (4.5e-06)","0.15 (1.1e-07)","-0.084 (0.098)","-0.018 (0.019)","-0.018 (0.59)","-0.0042 (0.64)","0.43 (1.7e-12)","-0.75 (2.6e-11)","-0.0047 (0.86)","-0.0074 (0.58)","0.0041 (0.63)","PF3D7_0111900","PKNH_0201700"
